objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
birthright-2024,birthright-2024.jpg,,,Birthright: A Vision into the Plight of Southeastern Indigenous Culture through the Eyes of Guernica,John Henry Gloyne,2024,"A ""remix of Picassos Guernica"" that ""depicts the horrors of colonialism and mound desecration from a Cherokee perspective.""",Cherokee;animals;death;mound,"Eastern Band Territory, Cherokee, NC",35.47694,83.32028,McClung Museum,2024.12.1,Image;StillImage,image/jpeg,,,
jar-1958,jar-1958.jpg,,,Jar,Unknown,1662,A porcelain jar from the Kangxi era (1662-1722) containing European bronze mounts.,vase;porcelain,China,35.8593,104.1361,McClung Museum,1958.5.186,Image;PhysicalObject,image/jpeg,,,
qabaqib,IMG_1379 2.jpeg,,,Qabaqib,Once Known Syrian Creator,1900,"Wood, silk, mother of pearl, leather, velvet, silver Gift of Mrs. Catherine Ann Taylor Miller, 1945.2.la,b",PATTENS,"Damascus, Syria",33.5132,36.2768,McClung Museum,"1945.2.la,b",Image;PhysicalObject,image/jpeg,,,
pencase-and-inkwell,IMG_1393 2.jpeg,,,pen case and inkwell,Unknown,1945,"Wood, metal pencil and a pencil case used to write the Quran ",pen and pencil ,Turkey ,38.9637,35.2433,McClung Museum,1945.2.121,Image;PhysicalObject,image/jpeg,,,
mourning-hair-chocker ,IMG_1389 2.jpeg,,,mourning hair chocker ,Once Known American Creator,1981,Victorian Jewlery made by human hair by their loved ones ,Chocker ,US,,,McClung Museum,1981.5.62,Image;PhysicalObject,image/jpeg,,,
paltok ,IMG_1387 2.jpeg,,,paltok (headscarf),Unknown,1988,"russian headscarf assossiated with babushkas, worn to protect from the heat and cover the hair ",headscarf ,Russia ,,,McClung Museum,1988.10.1,Image;PhysicalObject,image/jpeg,,,
